GOM1,GOM2 ,GOM3 ,GOM4 ,GOM5 ,GOM6 ,GOM7 ,GOM8 ,GOM9 ,GOM10 ,GOM11 ,GOM12 ,GOM13 ,GOM14 ,GOM15 ,GOM16 ,GOM17 ,GOM18 ,GOM19 
26.10809,28.104964,28.324192,28.803502,30.146861,30.330725,30.451781,31.0551,31.196412,31.196412,31.239455,31.512663,31.440175,31.999614,31.5517,31.682821,30.759199,30.7028,30.469205
-98.11987,-98.390381,-98.232987,-97.798488,-96.640822,-96.314522,-96.026872,-94.0282,-93.564165,-93.564165,-93.37859,-93.031941,-92.949738,-90.964758,-89.321842,-88.683854,-86.199996,-86.035598,-84.982084
35.3,27.2,33,35.7,37.2,30.3,25.5,27.5,26.6,27,24.1,30.7,25.5,31.5,43.6,84.9,19.8,318,289.7
35.6,28.6,33.4,36.8,40.4,31.1,27.5,28.1,27.7,36.4,27.4,33.5,34.6,32,44.8,299.9,187.1,322.3,291.1
37.2,28.6,33.9,38.7,55.5,32.4,29.4,35.2,28.5,37.9,27.8,34.1,34.7,32.6,79.9,308.8,324,323.3,291.4
47.2,28.9,34.7,40.6,59.2,33.3,29.9,36.1,38.6,38.9,28.4,35,35.6,43.5,81.3,326.4,325.4,328,299.8
55.6,29.9,34.8,41.6,66.2,34,32,36.4,39.7,40.1,28.4,36.2,36.4,44.5,96.2,335.4,326.7,332.1,306
58.4,30.7,35.5,54.6,74.4,34.4,32.9,36.8,40.6,40.5,32.6,36.6,36.8,47.7,99.3,339,328.3,335,311.1
61.4,30.9,37.2,57.7,80.3,34.4,33.9,39.2,46.4,41.9,32.6,39,38.8,55.2,100.1,366.5,348,339,326
65.9,31.5,37.3,59,81.2,36.4,34.6,39.8,48.3,42.2,32.9,39.3,39.2,66.4,172.3,377.3,349.5,339.6,331.4
70.4,31.9,38.8,59.3,81.6,36.4,35,40.3,48.9,45,33.2,40.7,41.3,71.6,321,412.1,352.8,340.2,334.2
71.5,32.3,39.6,60.4,82.6,43.8,35.8,41.2,49.2,46.4,33.2,42.3,43.6,72.3,373,413.3,354.3,342.3,335.1
77.7,33.5,42.8,70.2,89.8,52.4,36,42.4,49.4,61.4,34,46,50.3,72.7,388,423.8,356.7,349.9,337.2
80.9,36,46.2,72.4,90.7,53.1,36.9,45.1,74.5,71.4,34.9,46.1,56.1,74.9,411,424.7,356.8,353.8,363
82.7,36.2,47.2,73.1,91.4,55.8,42.6,45.3,74.8,72.2,36.3,46.5,56.7,76.6,412,426.7,357.6,355.7,375.7
90.8,36.5,49.6,74.2,91.4,56.7,45.3,50.4,77.9,73.5,37.5,68.1,57.5,114,413.8,429,357.7,358,382
94.7,36.8,55.8,75.8,92.4,57.3,50.7,54.3,82.2,78.3,39.1,74.5,59.7,166.8,415.3,433.4,360.1,361.4,402.9
96.2,36.8,62.6,76.3,92.6,57.4,52.8,58.2,86.5,79.6,40.5,75.6,64.3,166.9,433,434.2,361,362.4,406.1
97.4,37.1,64.1,77,94,58.7,53.7,58.8,93.6,80.2,42,76.3,65.1,166.9,457.9,434.6,361.3,363,410
99.1,38.2,69.5,89.7,94.1,58.8,55.8,59.2,144.7,81.8,43,77.6,67,224,459.4,447,375,367.9,410.2
100,42.8,71.6,94.6,97,59,56.2,60.1,146.2,91.8,43.1,77.8,69.6,409.4,461.3,455.1,392.1,371,411
104.4,43.4,72.7,94.7,98.5,59.7,56.3,61.3,158,92.4,47.1,77.9,70.7,425.1,468.6,456.7,397.8,382.4,411.9
105.1,55,72.8,95.1,99.5,59.8,56.4,65.7,158.2,95.9,49.3,92.1,76.7,432.1,507.2,459,400,387.6,423.1
107.4,55.3,73.5,96.4,100.3,60,56.8,67.5,160.3,156.9,50.9,96.7,76.9,435.8,563,494,407.6,404.4,433
160.9,56.7,74.6,96.8,100.5,61.1,57.1,72.9,161.1,164.1,53.7,97.3,77.8,463,718,517,427,419.8,435.4
161.7,57,75,98.5,118,64.1,57.6,74.2,162.7,164.5,58.9,97.4,78.2,743,853,633.1,428.1,420.3,440.1
163.9,57.7,75.8,99.3,144.9,66.4,60.8,74.4,166.8,166.2,59.7,109.1,78.9,934,916,701.4,432.2,420.8,445.5
166,58.1,76.2,102.2,155.4,68,61.6,88,174.4,166.4,61.8,116,80.4,952.5,924,744,433,428.6,452
168.8,58.5,76.6,105.1,158.4,69.7,65.8,90.2,199.4,166.7,67.9,132,80.7,954,932,892,434.9,428.9,454
176.8,58.6,80.1,106.2,158.7,70.2,70.7,92.7,213.5,169.8,79.8,140.3,89.4,954.4,953,907,435.7,429.3,458
177,58.8,80.8,107.1,158.8,71.2,70.9,96.5,222.6,188.3,98.8,144.8,94.4,955.1,980,912,438.1,434.9,486.1
209.2,58.9,82,147.5,162.2,74.7,71.2,160,228.4,203.5,153.4,149.2,96.4,964.6,984,915,440,443.3,513.2
233.5,59.2,82.5,158.7,163.6,75.2,74.2,160.7,390.9,452.2,164.7,154.4,100.8,971,991,916,443.8,444,563
236.5,59.6,86.2,160.2,165.2,75.5,76.2,167.9,418.3,471.5,165.7,162.9,106,981,994,917,444.7,448,575
240.4,60.2,87.1,164.8,166.6,75.6,78.3,175,574.4,987,174.6,164.8,148.6,983,996,935.1,447,449,592.3
242,61.7,87.1,168.6,168.2,76,79.4,196.1,694,1028.7,175.7,165.5,153.5,983.5,999,941.7,449,454,744.4
251.6,64.2,87.2,172.6,168.5,77.5,85.8,201.4,791,1081,179.5,166.7,159.6,986.7,1029,947.2,449.7,455,767
256.6,70.7,90,173.2,169.7,77.8,89.6,209.8,877,1088,195,167,161.6,992,1031,948,451.9,460.7,779
